Profile,Platform,Profile Link,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CxnSA11IAlC/,Brave. Free. Original.  jennaortega x adidasOriginals x adidas​#1000Originals #adidasOriginals,reel,2023-09-25 08:00 AM,1048657,20.21,3.04683,36385,55.65,1012272,19.74,,18888030,20776834
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CxvJGkyIBhU/,Determined. Real. Original.  judebellingham x adidasOriginals x adidasLondon  #1000Originals #adidasOriginals,reel,2023-09-28 09:08 AM,397481,7.03,1.15487,751,0.16,396730,7.12,,4254139,4679553
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/Cr0FDWcIRQW/,Behind the scenes with these icons 💙sooyaaa__jennierubyjanelalalalisa_mroses_are_rosie​on-set for #HomeOfClassics,CAROUSEL_ALBUM,2023-05-04 04:00 AM,322175,5.51,0.93652,4663,6.26,317512,5.5,,1495474,1645021
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/C6G7TubIad6/,Originals Icon ⚽#adidasSamba #adidasSpezial,CAROUSEL_ALBUM,2024-04-23 11:00 AM,283118,4.72,0.82048,674,0.04,282444,4.78,,914954,1006449
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CxulssKoc9X/,Effortless. Versatile. Original.  jennierubyjane x adidasOriginals  #1000Originals #adidasOriginals,reel,2023-09-28 04:12 AM,219199,3.43,0.63687,9594,13.93,209605,3.29,,6147177,6761895
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/p/CwmfouLo96v/,Since 1972 the Trefoil logo has lived a thousand lifetimes. #WeGaveTheWorldAnOriginal,IMAGE,2023-08-31 03:59 AM,157438,2.18,0.45743,1055,0.64,156383,2.2,,550655,605720
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/Cyv1akVrpzM/,¿Alguna vez te has animado hacia lo que no conoces?Signups open now on Confirmed.,reel,2023-10-23 12:08 PM,146448,1.96,0.4255,979,0.52,145469,1.98,,595278,654806
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/Cxm3NsgIgcU/,Unmissable. Self-confident. Original.​zidane x adidasOriginals x adidas​#1000Originals #adidasOriginals,reel,2023-09-25 04:00 AM,130960,1.64,0.3805,1051,0.63,129909,1.66,,4005167,4405683
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/Cxqo0j2NAmR/,Fearless. Authentic. Original.  hoooooyeony x adidasOriginals x adidas  #1000Originals #adidasOriginals,reel,2023-09-26 03:09 PM,125321,1.53,0.36412,535,-0.16,124786,1.55,,3815432,4196975
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CylTyV4rKnM/,We’re thrilled to officially announce our KoRn x adidas Originals collaboration launching October 27. This first collection is inspired by the iconic album Life Is Peachy celebrating the way KoRn has blurred the lines between music culture and fashion.,reel,2023-10-19 10:00 AM,122453,1.47,0.35578,1810,1.81,120643,1.47,,613828,675210
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/C3ABBTNIF_g/,A first look at the BAPE x adidas Stan Smith. 💚 ​​Link in bio.,reel,2024-02-06 04:02 AM,107067,1.16,0.31028,676,0.05,106391,1.18,,817740,899514
adidasoriginals,Instagram,https://www.instagram.com/adidasoriginals,https://www.instagram.com/reel/CvFSjBAgVBj/,Experience the badbunnypr Campus Chalky Brown through the lens of photographer arab_lincoln. Releasing digitally on July 29th. Available for sign-up on the Confirmed app now.,reel,2023-07-24 10:01 AM,105507,1.13,0.3067,567,-0.11,104940,1.15,,570296,627326
