Name,Profile,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
asos,https://www.instagram.com/asos,https://www.instagram.com/p/C3QK937IoiT/,Sorry for the radio silence…we’re STILL not over last night 😮‍💨🏈🏆 What’s your fave moment?,CAROUSEL_ALBUM,2024-02-12 10:35 AM,72797,25.31,0.49158,292,3.64,72505,23.33,,934118,1027530,
asos,https://www.instagram.com/asos,https://www.instagram.com/p/C3YXvPMs44h/,He’s just Ken.,CAROUSEL_ALBUM,2024-02-15 03:01 PM,40711,13.71,0.27491,215,2.42,40496,12.59,,562078,618286,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CvRoR8TNv5o/,We can’t unsee this colour work from heygreatnails [she/her] 👀💗,reel,2023-07-29 05:00 AM,39557,13.29,0.26744,188,1.99,39369,12.21,,65036,71540,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CyF3_TTtP5g/,We aint afraid of no ghosts 😉👻💅 As Seen on heygreatnails [she/her],reel,2023-10-07 05:00 AM,33048,10.94,0.22316,386,5.14,32662,9.96,,65398,71938,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CuMG0Y2tbvy/,All other dresses can go home ➡️🚪 👋 @‌Emilyshak offish showing that eveningwear can be worn at any time of day with the right footwear 👟 ASOS DESIGN satin bandeau dress in [128947007],reel,2023-07-02 05:00 AM,32578,10.77,0.21999,208,2.31,32370,9.86,,56773,62450,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CuuBYbWs2F8/,Struggling to think of ways to serve at the next wedding? sheeeeoo [she/her] is demoing high glam wedding guest 🪞🎉 Save for big day fitspo 📝ASOS DESIGN satin corset dress [126494899]ASOS DESIGN broderie co-ord [128879763],reel,2023-07-15 09:06 AM,31310,10.31,0.21143,297,3.72,31013,9.4,,61410,67551,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/Cyq_ufkuq6j/,Big devil energy from __bexbeauty__ [she/her] 😈NYX Shine Loud Long Lasting Lip Shine Lip Gloss - On A Mission [1995549],reel,2023-10-21 03:00 PM,29620,9.7,0.20001,289,3.6,29331,8.84,,55163,60679,
asos,https://www.instagram.com/asos,https://www.instagram.com/p/Csjm5q0M4n0/,HBD to Emma Chamberlain 🎂 red-carpet regular vlogger TIME100 Next rising star entrepreneur podcaster model and one of the best things about the internet.,CAROUSEL_ALBUM,2023-05-22 03:00 PM,27653,8.99,0.18673,71,0.13,27582,8.25,,45933,50526,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CyysuE8Iw4u/,Nothing beats a duo costume on Halloween 🎃🫶 🔎 ‘Halloween Hits’ on ASOS,reel,2023-10-24 02:49 PM,26763,8.67,0.18072,92,0.46,26671,7.95,,43694,48064,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/Cw2zWgIt4ku/,1 step 2 step3 step: Bun with nicholeciotti [she/her] 🫶,reel,2023-09-06 12:00 PM,25759,8.31,0.17394,210,2.34,25549,7.57,,50493,55543,
asos,https://www.instagram.com/asos,https://www.instagram.com/reel/CvzAgiyMjEi/,Catch a Kylash not feelings 🫶🔎 Kylie Cosmetics @ ASOS,reel,2023-08-11 04:06 AM,25185,8.1,0.17086,137,1.18,25048,7.4,,40110,44121,
asos,https://www.instagram.com/asos,https://www.instagram.com/p/C3CyMYCtFFP/,You get to steal the red carpet wardrobe from one of the Dune cast who do you pick?,CAROUSEL_ALBUM,2024-02-07 05:49 AM,24182,7.74,0.16329,62,-0.01,24120,7.09,,350884,385972,
