Name,Profile,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
dior,https://www.instagram.com/dior,https://www.instagram.com/p/C3270E-I68x/,The #DiorAW24 show has ended and so now it’s time for our #StarsinDior coverage - which kicks off with our Dior global ambassador Sooyaaa__ who opted from a short and sharp #DiorFall24 look in timeless black by MariaGraziaChiuri.,IMAGE,2024-02-27 11:53 AM,805876,11.4,1.756,20119,27.02,785757,11.22,,2195277,2414804,
dior,https://www.instagram.com/dior,https://www.instagram.com/p/C33QbxToRbA/,Dior ambassador Lyx0420 posed for the cameras before Tuesday afternoons #DiorAW24 show in Paris clad in a coat by MariaGraziaChiuri decorated with a stylized streetscape of the French capital itself.#StarsinDior,IMAGE,2024-02-27 02:53 PM,730640,10.24,1.59206,15710,20.88,714930,10.12,,1774330,1951763,
dior,https://www.instagram.com/dior,https://www.instagram.com/reel/C3H7-3RoHUU/,Spend some one-on-one time with XeeSoXee actress and Dior ambassador as she gets ready to attend the unveiling of #DiorCouture Spring-Summer 2024. Accompany her as she reads up on fashion history perfects her DiorBeauty look heads off to the show and she shares her thoughts afterwards on the new collection by MariaGraziaChiuri.© Photo: AlexHuanfaCheng,reel,2024-02-09 05:59 AM,585581,8.01,1.27598,1122,0.56,584459,8.09,,972794,1070074,
dior,https://www.instagram.com/dior,https://www.instagram.com/reel/C35Ce02I_bq/,Theres no mistaking the arrival of Dior global ambassador Sooyaaa__ at the #DiorAW24 by MariaGraziaChiuri show!,reel,2024-02-28 07:31 AM,243106,2.74,0.52973,8046,10.2,235060,2.65,,1020209,1122230,
dior,https://www.instagram.com/dior,https://www.instagram.com/reel/C3mvycqp6pJ/,In a journey where dreams sculpt reality the Dior Délicat collection by VictoiredeCastellane for #DiorHauteJoaillerie unfolds merging haute coutures artistry with the fluidity of femininity—soft yet strong subtle yet commanding. Among its wonders a diamond-studded white gold necklace stands out epitomizing the harmonious blend of resilience and grace.© ThomasLenthal,reel,2024-02-21 05:00 AM,231248,2.55,0.50389,1116,0.55,230132,2.58,,643012,707314,
dior,https://www.instagram.com/dior,https://www.instagram.com/p/C33zh5vNjbE/,Continuing our front-row reportage from the #DiorAW24 show actress Maisie_Williams and Dior ambassadors Pretty_Yende_Official and Giordana_Marengo_ took in MariaGraziaChiuris new collection with #StarsinDior cohorts PiaWurtzbach and Min9Yu_K.,CAROUSEL_ALBUM,2024-02-27 08:00 PM,207847,2.19,0.4529,3381,3.7,204466,2.18,,719395,791335,
dior,https://www.instagram.com/dior,https://www.instagram.com/p/C3utPySrQNn/,Amidst the star-studded affair at AcademieDesCesar actress GolFarahani graced the ceremony in a long flowy night blue #DiorCouture dress by MariaGraziaChiuri adding an extra touch of magic to the evening.#StarsinDior,IMAGE,2024-02-24 07:12 AM,173911,1.67,0.37895,2222,2.09,171689,1.67,,550957,606053,
dior,https://www.instagram.com/dior,https://www.instagram.com/p/C34BTWchXxt/,The #DiorAW24 show front row was packed with a splendid array of #StarsinDior from Dior ambassadors Tontawan Aseel and Lou de Laâge to House friend LoretoPeralta all present to witness the new collection from MariaGraziaChiuri.,CAROUSEL_ALBUM,2024-02-27 10:01 PM,168508,1.59,0.36718,895,0.24,167613,1.6,,565366,621903,
dior,https://www.instagram.com/dior,https://www.instagram.com/reel/C37VMlnIvmK/,Dior ambassador Lyx0420 is the essence of cool and composed at the #DiorAW24 by MariaGraziaChiuri show!© NishaJohny & JonathanJacobs_,reel,2024-02-29 04:56 AM,158746,1.44,0.34591,10068,13.02,148678,1.31,,1084707,1193178,
dior,https://www.instagram.com/dior,https://www.instagram.com/p/C33NIXrrTLf/,A trio of Dior ambassadors - Jennifer Lawrence Elizabeth Debicki and NinedUrso - were among the #StarsinDior to turn out for Tuesdays unveiling of #DiorAW24 by MariaGraziaChiuri joining front-row House friends IAmHeartE and Mia_MBruce.,CAROUSEL_ALBUM,2024-02-27 02:25 PM,148587,1.28,0.32377,830,0.15,147757,1.29,,525289,577818,
