Name,Profile,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/Cx07BeJMRmh/,Gone exploring.Kendall Jenner for the new Gucci Valigeria campaign featuring the heritage-infused Gucci Savoy collection.#GucciValigeria #KendallJenner,IMAGE,2023-09-30 03:00 PM,1599902,16.99,3.05436,4395,5.72,1595507,17.08,,20457451,22503196,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/Cx0mfTpMYGx/,Time to fly. – Bad Bunny & Kendall Jenner Creative Director: Sabato De Sarno Artistic Director: Riccardo Zanola Photographer: Anthony Seklaoui The new Gucci Valigeria campaign features emblematic pieces from the Gucci Savoy collection defined by the GG monogram and Web. #GucciValigeria #BadBunny #KendallJenner,IMAGE,2023-09-30 12:00 PM,1560321,16.55,2.9788,4725,6.23,1555596,16.63,,20704381,22774819,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/reel/CsXeNvohqG4/,Global Brand Ambassadors and friends of the House gathered at Gyeongbokgung Palace in Seoul to attend the Cruise 2024 fashion show. #GucciCruise24,reel,2023-05-17 09:54 PM,1534605,16.26,2.93541,3463,4.29,1531142,16.35,,19642988,21607286,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/reel/CzB17fYCMeG/,Billie for Gucci.  Creative Director: Sabato De Sarno Artistic Director: Riccardo Zanola Photographer: Tyrell Hampton Director: Marcell Rev Music: ‘What Was I Made For?’ by Billie Eilish Starring Billie Eilish a new campaign showcases the House’s first handbag crafted in Demetra Gucci’s innovative animal-free material made in-house with 75% plant-derived raw material sources. #BillieEilish #GucciHorsebit1955,reel,2023-10-30 12:00 PM,1490502,15.76,2.84551,5425,7.3,1485077,15.83,,4109680,4520648,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CsF_v44IXyc/,Alia Bhatt is the House’s newest Global Brand Ambassador. To mark the occasion the actress producer and entrepreneur was captured with the Gucci Bamboo 1947 bag. #AliaBhatt #GucciBamboo1947,IMAGE,2023-05-11 03:00 AM,860415,8.68,1.64581,3136,3.79,857279,8.71,,11232387,12355626,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/C29mTbWtaV_/,A night of firsts.To the 66th Annual GRAMMY Awards Winner of Best Pop Solo Performance and Record Of The Year Miley Cyrus wore a custom Gucci sequin dress designed by Sabato De Sarno with a Gucci Bamboo 1947 handbag and Gucci Signoria pumps. #GRAMMYs #GucciBamboo1947 #GucciSignoria,CAROUSEL_ALBUM,2024-02-05 05:29 AM,854587,8.61,1.63103,2275,2.48,852312,8.66,,12112073,13323280,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/reel/CsX6pxJBsl0/,The House’s newest Global Brand Ambassador Alia Bhatt captured at the Gucci Cruise 2024 fashion show in Seoul.#AliaBhatt #GucciCruise24,reel,2023-05-18 02:03 AM,827185,8.3,1.58225,2813,3.3,824372,8.34,,12349134,13584048,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/Cx0myYEMogv/,Got everything we need. – Bad Bunny & Kendall Jenner Presenting neon-accented legacy pieces from the Gucci Valigeria travel collection.#GucciValigeria #BadBunny #KendallJenner,IMAGE,2023-09-30 12:03 PM,826701,8.3,1.57825,2379,2.64,824322,8.34,,12550299,13805329,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/Cx07JYUs-8k/,Memories in the making.The new Gucci Valigeria campaign with Bad Bunny spotlights emblematic pieces from the Gucci Savoy line.#GucciValigeria #BadBunny,IMAGE,2023-09-30 03:01 PM,801939,8.02,1.53098,2827,3.32,799112,8.05,,12772817,14050099,
gucci,https://www.instagram.com/gucci,https://www.instagram.com/p/CzENbjKiSoi/,Inspired by tomorrow. Billie Eilish stars in a new campaign for the House envisioned by Sabato De Sarno. #BillieEilish,CAROUSEL_ALBUM,2023-10-31 10:00 AM,508622,4.72,0.97101,919,0.4,507703,4.75,,2051621,2256783,
