Name,Profile,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C14c-qZvULU/,🚨 BACK BY POPULAR DEMAND 🚨 WIN a brand new Pink iPhone 15 Silver Apple AirPods Max AND £1K CASH !!! 🤑🎧 MUST follow prettylittlething🎧 LIKE this post🎧 COMMENT 🦄 below (more comments = more entries)🎧 TAG a bestieShare to your stories to spread the word 😱 Open WORLDWIDE. Competition ends 13.01.24. Winner announced 15.01.24. T&Cs found at prettylittlething.com.,IMAGE,2024-01-09 09:00 AM,404078,22.15,2.24797,370372,108.99,33706,1.32,,1235064,1358571,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C3Dqal8tn0C/,🎧💞 WIN WIN WIN 💞🎧 Our IT GIRL Essentials ☁️ Including Silver AirPods Max and a Beauty Works Aeris Multi-Styler 🙌✨ To enter👇📲 MUST FOLLOW prettylittlething📲 COMMENT ‘💫’ below (more comments = more entries)Share to stories for your besties to see 🥰 T&C’s can be found www.prettylittlething.com 👏 Competition ends 11:59pm 13.02.24 ⏰,CAROUSEL_ALBUM,2024-02-07 02:00 PM,385497,21.08,2.1446,332158,97.64,53339,2.68,,1144818,1259300,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/reel/C0bAb3dsUqT/,💝☃️ 3 WEEKS TODAY ☃️💝 Spreading the festive spirit a little early… 👀 WIN a brand new Pink iPhone 15 Silver Apple AirPods Max AND £1K CASH !!! 🤑🎧 MUST follow prettylittlething 🎧 LIKE this post 🎧 COMMENT 🧑‍🎄 below (more comments = more entries) 🎧 TAG a bestie Share to your stories to spread the word 😱 Open WORLDWIDE. Competition ends 17.12.23. Winner announced 18.12.23.,reel,2023-12-04 02:01 AM,381041,20.83,2.11981,329392,96.82,51649,2.56,,1255184,1380703,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C3Z7q01sB-9/,OUR BIGGEST GIVEAWAY YET… 💸🏝️💖WIN your DREAM holiday to ANY DESTINATION for you and a plus one ✈️ PLUS a Limited Edition Leopard Print JACQUEMUS Bag AND £1000 CASH straight into your bank account 🤑✨☁️ MUST FOLLOW prettylittlething☁️ COMMENT 💖 on this post (more comments = more entries)☁️ TAG a bestie in the commentsShare to stories for your besties to see 🤝 T&C’s can be found www.prettylittlething.com 👏 Competition ends 11:59pm 05.03.24 ⏰,CAROUSEL_ALBUM,2024-02-16 05:34 AM,348514,18.96,1.93885,279366,81.96,69148,3.77,,994911,1094402,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C1NbI1OsRRj/,🚨 BACK BY POPULAR DEMAND 🚨 WIN a brand new Pink iPhone 15 Silver Apple AirPods Max AND £1K CASH !!! 🤑 🎧 MUST follow prettylittlething🎧 LIKE this post🎧 COMMENT 🦄 below (more comments = more entries)🎧 TAG a bestieShare to your stories to spread the word 😱 Open WORLDWIDE. Competition ends 13.01.24. Winner announced 15.01.24. T&Cs found at prettylittlething.com.,IMAGE,2023-12-23 03:56 PM,336608,18.28,1.86778,294827,86.55,41781,1.88,,983688,1082056,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/reel/CtlPe-DoFig/,They’re having a baby!!👶🍼 kourtneykardash surprised  travisbarker with the news of their first child recreating iconic blink 182 scene at a concert last night !!🥹🥹 🖤,reel,2023-06-17 02:47 AM,279982,15.04,1.5576,1820,-0.45,278162,18.19,,,,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C30lffDrxe7/,LAST CHANCE TO ENTER... 💸🏝️💖WIN your DREAM holiday to ANY DESTINATION for you and a plus one ✈️ PLUS a Limited Edition Leopard Print JACQUEMUS Bag AND £1000 CASH straight into your bank account 🤑✨☁️ MUST FOLLOW prettylittlething☁️ COMMENT ‘💖’ on this post (more comments = more entries)☁️ TAG a bestie in the commentsShare to stories for your besties to see 🤝 T&C’s can be found www.prettylittlething.com 👏 Competition ends 11:59pm 05.03.24 ⏰,CAROUSEL_ALBUM,2024-02-26 02:00 PM,273172,14.65,1.51971,221082,64.65,52090,2.59,,783871,862258,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C12TuYmCfwo/,💖👑 FIT FOR A QUEEN 👑💖 WIN Royalty Delivery for a year £5k CASH AND a Spa Day including Afternoon Tea 💸🧖‍♀️💫All you have to do is👇🫶 MUST FOLLOW prettylittlething🫶 TAG your PLT Queen below🫶 COMMENT 👑🦄 below (more comments = more enteries)Share this post to let your besties know! 💕Full T&C’s on our website. Open worldwide 🌍 Competition ends 16.01.24. Winner announced 17.01.24,IMAGE,2024-01-08 01:00 PM,269369,14.43,1.49855,248813,72.89,20556,0.41,,827376,910113,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/CtpHpmzohiX/,Behind the scenes of the iconic moment 🥹Say it ain’t so..👀📸We can’t wait for Kravis to become parents to their own baby ❤️‍🔥,IMAGE,2023-06-18 02:53 PM,267396,14.32,1.48758,1090,-0.67,266306,17.37,,,,
prettylittlething,https://www.instagram.com/prettylittlething,https://www.instagram.com/p/C3lJBQesUuN/,OUR BIGGEST GIVEAWAY YET… 💸🏝️💖WIN your DREAM holiday to ANY DESTINATION for you and a plus one ✈️ PLUS a Limited Edition Leopard Print JACQUEMUS Bag AND £1000 CASH straight into your bank account 🤑✨☁️ MUST FOLLOW prettylittlething☁️ COMMENT ‘💖’ on this post (more comments = more entries)☁️ TAG a bestie in the commentsShare to stories for your besties to see 🤝 T&C’s can be found www.prettylittlething.com 👏 Competition ends 11:59pm 05.03.24 ⏰,CAROUSEL_ALBUM,2024-02-20 02:02 PM,264246,14.14,1.47005,215429,62.97,48817,2.36,,761266,837393,
