Name,Profile,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
primark,https://www.instagram.com/primark,https://www.instagram.com/reel/C3Kovm9CLDY/,The sweetest bouquet to receive this Valentine’s 🌹 #Primark,reel,2024-02-10 07:00 AM,198492,17.28,1.85749,984,10.72,197508,17.33,,356320,391952,
primark,https://www.instagram.com/primark,https://www.instagram.com/p/C3FfGwCuG2H/,PSA: your friendly reminder its not too late 😉❤️ #Primark,CAROUSEL_ALBUM,2024-02-08 07:00 AM,52856,3.86,0.49463,294,2.5,52562,3.87,,122887,135176,
primark,https://www.instagram.com/primark,https://www.instagram.com/reel/C3YKCQOitPg/,Providing you with the ✨ goods ✨ #Primark #InStoreNow,reel,2024-02-15 01:02 PM,40748,2.75,0.38132,184,1.19,40564,2.76,,105251,115776,
primark,https://www.instagram.com/primark,https://www.instagram.com/reel/C29wwVQiZOY/,Whats in our Primark bag Valentine’s edition 👀 ❤️ 💗 #Primark,reel,2024-02-05 07:00 AM,27927,1.57,0.26134,164,0.95,27763,1.57,,92688,101957,
primark,https://www.instagram.com/primark,https://www.instagram.com/p/C3vVBZROwxk/,Treat yourself to some nightwear newness 🌸 Prices from £9/€10 #Primark #NewIn,CAROUSEL_ALBUM,2024-02-24 01:00 PM,24705,1.27,0.23119,92,0.09,24613,1.28,,85485,94033,
primark,https://www.instagram.com/primark,https://www.instagram.com/reel/C3m_d7ICOhQ/,Calling all Anime fans... 💗  Prices from £4.50/€5 #Primark #InStoreNow,reel,2024-02-21 07:18 AM,21140,0.94,0.19783,611,6.28,20529,0.9,,115509,127060,
primark,https://www.instagram.com/primark,https://www.instagram.com/reel/C27giJOiBxI/,Heart’s set on this bralette anna_williamsxox 🪩 🩷 Bralette £12/€14 #Primark,reel,2024-02-04 10:00 AM,20946,0.92,0.19601,778,8.27,20168,0.87,,132944,146238,
primark,https://www.instagram.com/primark,https://www.instagram.com/p/C3p21sUO_yz/,Say hola to our newest store 😍 👉 📍 La Vaguada Madrid #Primark #NewStore,CAROUSEL_ALBUM,2024-02-22 10:00 AM,20071,0.84,0.18782,94,0.12,19977,0.85,,79142,87056,
primark,https://www.instagram.com/primark,https://www.instagram.com/p/C30em9oOn63/,The perfect bridal pieces 🤍 #Primark #NewArrivals,IMAGE,2024-02-26 01:00 PM,18314,0.68,0.17138,82,-0.02,18232,0.69,,61356,67492,
primark,https://www.instagram.com/primark,https://www.instagram.com/p/C3FzsySsKUN/,We cant choose a favourite colour 😍  Shorts £4.50/€5/$6 & Camis £4.50/€5/$6 #Primark #Nightwear,IMAGE,2024-02-08 10:00 AM,17331,0.59,0.16218,143,0.7,17188,0.59,,81654,89820,
primark,https://www.instagram.com/primark,https://www.instagram.com/p/C3BMritMHTt/,Say Aloha to our latest drop of Disney’s Stitch accessories 💙 Prices from £3.50/€4.50/$5.50 imhollyfrances #PrimarkXDisney,CAROUSEL_ALBUM,2024-02-06 03:02 PM,16770,0.54,0.15693,203,1.41,16567,0.53,,99654,109619,
primark,https://www.instagram.com/primark,https://www.instagram.com/reel/C37-jGCCmz5/,Creating a DIY gift basket for the most important woman in your life 🌸 🥰 morganaliceb #Primark,reel,2024-02-29 10:55 AM,15911,0.46,0.14889,94,0.12,15817,0.46,,84706,93177,
primark,https://www.instagram.com/primark,https://www.instagram.com/reel/C3N2uBhCKl8/,New-in store now 👀 💙 #Primark,reel,2024-02-11 01:00 PM,15895,0.46,0.14875,69,-0.17,15826,0.46,,79487,87435,
primark,https://www.instagram.com/primark,https://www.instagram.com/reel/C271KyOCd5Z/,Are you team pink or silver? 😍 Heels £18/€22/$24 & Bags £12/€14/$16 #Primark #NewArrivals,reel,2024-02-04 01:00 PM,13968,0.28,0.13071,194,1.31,13774,0.27,,83628,91991,
primark,https://www.instagram.com/primark,https://www.instagram.com/p/C3kYpHTuPtO/,Name a more hard-working fabric than denim... we’ll wait 👀 Prices from £12/€14 #Primark,CAROUSEL_ALBUM,2024-02-20 07:00 AM,13930,0.28,0.13036,61,-0.27,13869,0.28,,72560,79816,
