Profile,Profile Link,Post Link,Text,Date,Type,Video Length (seconds),Engagement,Engagement Ratio vs Average,Likes,Likes Ratio vs Average,Shares,Shares Ratio vs Average,Saves,Comments,Comments Ratio vs Average,Views,Engagement Rate,Music Name, Music Author, Hashtags, Campaigns
asos,https://www.tiktok.com/@asos,http://tiktok.com/@asos/video/7336178040638033185,Taking NOTES ✍️ from @Olivia Kirkby 🤗 [she/her] and @Sol de Janeiro’s book! How do you feel the most confident?💜 #BeautyTok #confidence #selflove #beautytips ,2024-02-16 07:37,video,85,33415,2.61,32771,3.58,91,2.18,644,205,5.11,1957393,1.70712,,,  beautytok confidence selflove beautytips,,
asos,https://www.tiktok.com/@asos,http://tiktok.com/@asos/video/7334103276935204128,Mia in Manhattan 🇺🇸🗽🚕 @Tommy Jeans #ASOSRSVP,2024-02-10 17:26,video,159,28738,2.1,28372,3.1,103,2.47,366,53,1.32,1434174,2.0038,,, asosrsvp,,
asos,https://www.tiktok.com/@asos,http://tiktok.com/@asos/video/7333988640378326305,@Tommy Hilfiger really said RED. Recovering from the carpet of dreams last night 🍎🚕🌃 #ASOSRSVP ,2024-02-10 10:01,video,21,24819,1.68,24681,2.7,42,1,138,55,1.37,1094391,2.26784,,, asosrsvp,,
asos,https://www.tiktok.com/@asos,http://tiktok.com/@asos/video/7337707562768338208,#LFW full stop.,2024-02-20 10:33,video,17,20463,1.21,20310,2.22,102,2.44,153,107,2.67,1370139,1.4935,,,lfw,,
asos,https://www.tiktok.com/@asos,http://tiktok.com/@asos/video/7336992948447431969,One pair ––> infinite vibes ✨✨ Cop your denim @ ASOS @elliee.rob,2024-02-18 12:19,video,11,17487,0.89,17295,1.89,13,0.31,192,28,0.69,1017413,1.71877,,,,,
asos,https://www.tiktok.com/@asos,http://tiktok.com/@asos/video/7338071009431457056,Scrunchie-making AND a talk with @lauraeklein? 🎀 Only VIP treatment for ASOS day 1s at our @Nike Gen Ldn event 👟 #nike #asos #lfw #londonfashionweek #sneakers #sneakertok #fashion #scrunchies  ,2024-02-21 10:03,video,30,15824,0.71,15810,1.73,32,0.76,14,11,0.27,3203872,0.4939,,,  nike asos lfw londonfashionweek sneakers sneakertok fashion scrunchies,,
asos,https://www.tiktok.com/@asos,http://tiktok.com/@asos/video/7335183777129319713,Team Valentine’s vs Galentine’s…the ASOSers have spoken 🌹 #ValentinesDay #galentinesday #valentines #galentines #vday #roses #office #officetok ,2024-02-13 15:19,video,36,15176,0.64,14929,1.63,54,1.29,247,78,1.94,1870608,0.81129,,,valentinesday galentinesday valentines galentines vday roses office officetok,,
asos,https://www.tiktok.com/@asos,http://tiktok.com/@asos/video/7338085078188313889,The rumours are true we have denim serves for dayzzzz 🩵 @steezyy_steve_ #Weekday Astro #Jeans [205532269] #CalvinKlein #Denim Jacket [205437466] COLLUSION Unisex co-ord [ 205184817] #outfitideas #asos #tryonhaul,2024-02-21 10:58,video,38,13705,0.48,13638,1.49,55,1.32,67,67,1.67,1880272,0.72888,,, weekday jeans calvinklein denim outfitideas asos tryonhaul,,
asos,https://www.tiktok.com/@asos,http://tiktok.com/@asos/video/7333184254773382433,How were stepping into the new @converse BeMy2K collection 💗🍒 #valentines #converse #asos #sneakers,2024-02-08 06:00,video,9,13414,0.45,13106,1.43,121,2.9,308,60,1.49,4699142,0.28546,,, valentines converse asos sneakers,,
asos,https://www.tiktok.com/@asos,http://tiktok.com/@asos/video/7335410799680245024,Quick double denim history lesson c/o @houseofdvey 💙🩵 Refresh the hardest-working part of your wardrobe @ ASOS 🔎Look 1: 204707609 204707321 205136726 Look 2: 204579316 204579621 Look 3: 204579475 204579386 #denim #outfitinspo #fashion #tryonhaul #asos,2024-02-14 06:00,video,30,11749,0.27,11491,1.25,72,1.72,258,53,1.32,1355285,0.8669,,, denim outfitinspo fashion tryonhaul asos,,
