Profile,Profile Link,Post Link,Text,Date,Type,Video Length (seconds),Engagement,Engagement Ratio vs Average,Likes,Likes Ratio vs Average,Shares,Shares Ratio vs Average,Saves,Comments,Comments Ratio vs Average,Views,Engagement Rate,Music Name, Music Author, Hashtags, Campaigns
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7225603062050606363,?úThe #DiorAddict reveals new shades with dazzling shine and four iconic new cases. Iconic and radiant like Jisoo??highlights @Peter Philips Creative and Makeup Director for Dior Makeup.   ¬† #DiorBeauty #DiorMakeup #DiorAddict,2023-04-24 9:10,video,10,1621274,21.27,1620129,22.76,37792,39.15,1145,29782,41.32,8412263,19.27275,son original Dior,,dioraddict diorbeauty diormakeup,
dior,https://www.tiktok.com/@dior,https://www.tiktok.com/@dior/video/7268238781491268896,Reminiscing summer with the beautiful Jisoo as she immersed herself in a journey of wellbeing. This summertime the Dior Spa Cruise offered the perfect zen oasis for our cherished guests. ¬† ¬© dnl.darmon #DiorBeauty #DiorSkincare #DiorSpa,2023-08-17 6:38,video,16,984500,12.52,953000,13.39,16900,17.51,65669,14600,20.25,4900000,20.09184,original sound Dior,,diorbeauty diorskincare diorspa,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7245272017686056218,TIME TO PLAY WITH LE BAUME SQUAD¬† ¬† Jisoo Emma Raducanu Eunwoo Nonso all have atypical career paths unique and diverse styles of beauty and extraordinary characters. The perfect cast to rewrite the codes of skincare.¬† ¬† #DiorBeauty #DiorSkincare #DiorLeBaume #TimeToPlay ,2023-06-16 9:15,video,14,855551,10.75,803013,11.28,12544,12.99,52538,12044,16.71,5437011,15.73569,son original Dior,,diorbeauty diorskincare diorlebaume timetoplay,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7211061987227241733,The Dior Book Tote just got even more Parisian #DiorASMR ,2023-03-16 4:43,video,20,698545,8.59,698529,9.81,2917,3.02,16,1218,1.68,8277728,8.43885,original sound Dior,,diorasmr,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7326534494423469344,Dior ambassadors @TOMORROW X TOGETHER were never going to sneak in unnoticed to the #DiorWinter24 show! #TikTokFashion,2024-01-21 7:55,video,20,494674,5.79,448062,6.29,7785,8.06,46612,6316,8.76,1360195,36.36787,,, DiorWinter24 TikTokFashion,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7296883108090039585,It?ôs a dose of London cool calling with Global Ambassador Jimin. #DiorSpring24 ,2023-11-02 11:13,video,30,487977,5.7,439106,6.17,10978,11.37,48871,12430,17.24,18796957,2.59604,original sound Dior,,diorspring24,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7227132005849271578,@Jenna Ortega unveils her personal meaning behind of ¬´¬†grey¬†¬ª before heading out to The Grey Zone Event in LA #DareInGrisDior #GrisDior #DiorLaCollectionPrivee ,2023-04-28 12:03,video,60,484459,5.65,484447,6.8,4248,4.4,12,2152,2.98,10061529,4.81496,original sound Dior,,dareingrisdior grisdior diorlacollectionprivee,
dior,https://www.tiktok.com/@dior,https://www.tiktok.com/@dior/video/7258187808676842778,Juliette Armanet strikes a perfect chord with Parisian allure. #DiorAW23,2023-07-21 4:35,video,30,452687,5.21,449600,6.31,2030,2.1,1321,1057,1.46,61000000,0.74211,original sound Dior,,dioraw23,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7235864535901441307,Bienvenido a Mexico! #DiorCruise ,2023-05-22 0:51,video,22,324479,3.45,324027,4.55,3840,3.97,452,1512,2.09,49111461,0.6607,original sound Dior,,diorcruise,
dior,https://www.tiktok.com/@dior,https://www.tiktok.com/@dior/video/7276927715091942688,Chasing the stars with @jenna0rtega. #DiorJoaillerie,2023-09-10 12:00,video,15,303792,3.17,291100,4.09,7900,8.18,11914,4792,6.64,9800000,3.09992,original sound - Dior Dior,,diorjoaillerie,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7333312393478507809,Discover the magic of #DiorSS24.,2024-02-08 14:17,video,30,276406,2.79,273280,3.84,1373,1.42,3126,655,0.9,88744396,0.31146,,,diorss24,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7223801097092140314,Come behind the scenes with Orelsan for the #GrisDior campaign. #DiorBeauty #DareInGrisDior #DiorLaCollectionPrivee ,2023-04-19 12:37,video,25,266010,2.65,266010,3.73,1203,1.24,0,549,0.76,33049656,0.80488,original sound Dior,,grisdior diorbeauty dareingrisdior diorlacollectionprivee,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7296417686144257313,This Holiday season Dream in Dior with Anya Taylor Joy at the heart of the most iconic Parisian Garden.  #DiorBeauty #DiorHoliday #DreamInDior,2023-11-01 5:07,video,70,261562,2.59,260329,3.65,2156,2.23,1233,1474,2.04,68850250,0.3799,original sound Dior,,diorbeauty diorholiday dreamindior,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7248183347116100891,Step into the light. #DiorSummer24 #TikTokFashion #PFW,2023-06-24 5:33,video,17,261102,2.58,252452,3.54,4609,4.77,8650,964,1.33,8359246,3.12351,original sound Dior,,diorsummer24 tiktokfashion pfw,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7306432499465424160,3 2 1??Lights off with Jennifer Lawrence at @Saks for Dior?ôs Carousel of Dreams. #SaksxDior ,2023-11-28 3:49,video,85,260402,2.57,259369,3.64,769,0.79,1033,896,1.24,9259990,2.81212,original sound Dior,,saksxdior,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7241620810937519387,Catch the wave of nautical charm #DiorASMR,2023-06-06 13:07,video,41,248793,2.41,248708,3.49,1499,1.55,85,1152,1.59,9281731,2.68046,original sound Dior,,diorasmr,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7306523497277164833,Watch Robert Pattinson embody the timeless spirit of Dior Icons.,2023-11-28 9:42,video,30,239231,2.28,231369,3.25,2834,2.93,7862,3512,4.87,21222715,1.12724,original sound Dior,,,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7239260909883952411,TIME TO PLAY WITH LE BAUME SQUAD ¬† The ultimate beauty essential created for the new generation of skincare lovers Le Baume is a multi-use caring companion embodied by Jisoo Emma Raducanu Eunwoo Nonso the inspiring squad representing diversity versatility and the ultimate love for Dior. ¬† #DiorBeauty #DiorSkincare #DiorLeBaume #TimeToPlay ,2023-05-31 4:29,video,19,231746,2.18,231704,3.25,3424,3.54,42,4199,5.82,10429734,2.22197,son original Dior,,diorbeauty diorskincare diorlebaume timetoplay,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7327963690022505761,Sohee Han does delicate distinction at the #DiorCouture show,2024-01-25 4:21,video,10,228165,2.13,215443,3.02,2823,2.92,12722,1735,2.4,1236317,18.45522,,,diorcouture,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7288339366752062752,This is the call of Sauvage Elixir #DiorBeauty #DiorParfums #DiorSauvage #MySauvageCall ,2023-10-10 10:39,video,23,227204,2.12,226279,3.18,1584,1.64,925,750,1.04,7965990,2.85218,original sound Dior,,diorbeauty diorparfums diorsauvage mysauvagecall,
dior,https://www.tiktok.com/@dior,https://www.tiktok.com/@dior/video/7208589654260485382,Did you hear about the new Saddle Bag made with Mystery Ranch? #DiorASMR,2023-03-11 7:00,video,20,211137,1.9,204100,2.86,436,0.45,6059,542,0.75,3800000,5.55624,son original Dior,,diorasmr,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7290578031867989280,Step into a world of wonder with the new Dior advent calendar a limited edition reinvented this year with the legendary 30 Montaigne fa√ßade. #DiorBeauty #DiorHoliday #DreamInDior,2023-10-16 11:26,video,12,203298,1.79,201395,2.83,1933,2,1903,1191,1.65,14297439,1.42192,original sound Dior,,diorbeauty diorholiday dreamindior,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7250502965310590235,D-Academy: a lesson in style #DiorFall23,2023-07-01 9:00,video,29,198731,1.73,192849,2.71,1296,1.34,5882,897,1.24,1930931,10.29198,original sound - Dior Dior,,diorfall23,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7216770859850140934,India is calling! #DiorFall23 #TikTokFashion ,2023-03-31 13:56,video,20,194810,1.67,194576,2.73,4214,4.36,234,891,1.23,15935338,1.2225,original sound Dior,,diorfall23 tiktokfashion,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7292051243495705889,Vibrant tales straight from Mexico. #DiorCruise,2023-10-20 10:43,video,30,193045,1.65,191744,2.69,2814,2.91,1301,1772,2.45,19168371,1.0071,original sound Dior,,diorcruise,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7223387929249352986,#DAREINGRISDIOR with Maya Hawke. With #GrisDior she dares to be authentic and reveals her true self #DiorBeauty #DiorLaCollectionPrivee ,2023-04-18 9:54,video,15,190979,1.62,190976,2.68,2646,2.74,3,1144,1.58,23753270,0.80401,original sound Dior,,dareingrisdior grisdior diorbeauty diorlacollectionprivee,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7228626841207164187,Miranda Kerrs #MetGala2023 magic.,2023-05-02 12:44,video,8,189483,1.6,189475,2.66,7955,8.24,8,1086,1.5,1991415,9.51499,original sound Dior,,metgala2023,
dior,https://www.tiktok.com/@dior,https://www.tiktok.com/@dior/video/7208473125762108677,Learn the letters and numbers that really matter with Anya Taylor-Joy #DiorLady9522,2023-03-09 7:00,video,16,183612,1.52,181500,2.55,360,0.37,1128,624,0.86,19300000,0.95136,original sound Dior,,diorlady9522,
dior,https://www.tiktok.com/@dior,http://tiktok.com/@Dior/video/7251946422101134619,Elegance never felt so easy  #DiorCouture #TikTokFashion ,2023-07-04 8:56,video,21,180490,1.47,180107,2.53,1010,1.04,383,456,0.63,19003786,0.94976,original sound Dior,,diorcouture tiktokfashion,
