Profile,Profile Link,Post Link,Text,Date,Type,Video Length (seconds),Engagement,Engagement Ratio vs Average,Likes,Likes Ratio vs Average,Shares,Shares Ratio vs Average,Saves,Comments,Comments Ratio vs Average,Views,Engagement Rate,Music Name, Music Author, Hashtags, Campaigns
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7213665542660525318,Hanni for #GucciHorsebit1955. #Gucci ,2023-03-23 5:06,video,14,1651620,14.39,1639968,15.59,18513,17.21,11652,12071,12,69860311,2.36417,suono originale Gucci,,guccihorsebit1955 gucci,
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7246769533166423323,Global Brand Ambassador #JungjaeLee for #GucciValigeria #Gucci ,2023-06-20 10:07,video,60,628474,4.85,626653,5.95,8394,7.8,1821,3050,3.03,146057947,0.43029,suono originale Gucci,,jungjaelee guccivaligeria gucci,
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7290950628900228384,Just Paul and his loafers. #GucciHorsebit1953 #PaulMescal,2023-10-17 11:32,video,16,593392,4.52,592145,5.62,2977,2.76,1247,544,0.54,139895972,0.42417,suono originale Gucci,,guccihorsebit1953 paulmescal,
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7282379811761311008,Pre-show bonding #GucciAncora #Hanni @NewJeans @ameliadimz ,2023-09-24 9:13,video,64,564335,4.25,527522,5.01,14346,13.33,36813,3571,3.55,2494067,22.6271,suono originale Gucci,,gucciancora hanni,
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7284651427325021472,Adventures await. #GucciValigeria #BadBunny #KendallJenner ,2023-09-30 12:08,video,11,557791,4.19,549882,5.22,17656,16.41,7909,3244,3.22,68362438,0.81593,suono originale Gucci,,guccivaligeria badbunny kendalljenner,
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7339216365414354208,New handbags from #GucciFW24. #MFW ,2024-02-24 12:07,video,15,524890,3.89,524343,4.98,1799,1.67,547,4678,4.65,42083212,1.24727,suono originale,Gucci,guccifw24 mfw,
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7273764574615162144,#GucciFW23 featuring Vittoria Ceretti and Aboubakar Konte captured by David Sims,2023-09-01 4:01,video,53,518613,3.83,517926,4.92,4118,3.82,687,750,0.74,126843058,0.40886,suono originale Gucci,,guccifw23,
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7295784738378321185,Billie for #Gucci #BillieEilish #GucciHorsebit1955 ,2023-10-30 12:11,video,42,516413,3.81,502898,4.78,4237,3.93,13515,3975,3.95,37588905,1.37384,Billie Eilish What Was I Made For Gucci,,gucci billieeilish guccihorsebit1955,
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7309441776077524257,From Gucci with love. #GucciGift,2023-12-06 6:27,video,15,495534,3.61,494001,4.69,2504,2.32,1533,1190,1.18,54764747,0.90484,,,guccigift,
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7271181430540078369,Seeing the world through #Gucci glasses #GucciEyewear,2023-08-25 4:57,video,30,479450,3.46,477527,4.54,4260,3.96,1923,3024,3,77789536,0.61634,suono originale Gucci,,gucci guccieyewear,
gucci,https://www.tiktok.com/@gucci,http://tiktok.com/@Gucci/video/7338919619878571297,Headed to the #GucciFW24 runway #MFW #FashionForYou ,2024-02-23 16:56,video,17,468476,3.36,468040,4.44,1930,1.79,436,1353,1.34,53168877,0.88111,,,guccifw24 mfw fashionforyou,
