Profile,Profile Link,Post Link,Text,Date,Type,Video Length (seconds),Engagement,Engagement Ratio vs Average,Likes,Likes Ratio vs Average,Shares,Shares Ratio vs Average,Saves,Comments,Comments Ratio vs Average,Views,Engagement Rate,Music Name, Music Author, Hashtags, Campaigns
prettylittlething,https://www.tiktok.com/@prettylittlething,http://tiktok.com/@prettylittlething/video/7338427385961860384,The best judges around 👑👏 Whats your fave moment of S3 so far? 👀 #thepinkcourtroom #pinkcourtroom ,2024-02-22 09:06,carrousel,19,588818,20.13,547108,20.86,743,10.24,41710,1081,13.05,2493959,23.60977,,,thepinkcourtroom pinkcourtroom,,
prettylittlething,https://www.tiktok.com/@prettylittlething,http://tiktok.com/@prettylittlething/video/7338089910915648800,Your honour im sorry sorry sorry 😂 #thepinkcourtroom #plt #prettylittlething ,2024-02-21 11:16,video,17,522276,17.74,482092,18.38,2756,38,40184,2023,24.43,2180859,23.94818,,,thepinkcourtroom plt prettylittlething,,
prettylittlething,https://www.tiktok.com/@prettylittlething,http://tiktok.com/@prettylittlething/video/7334355395323940129,A classic 🤣 #thepinkcourtroom #plt #spoilitall ,2024-02-11 09:44,video,8,323356,10.6,306606,11.69,539,7.43,16750,353,4.26,1502255,21.52471,,,thepinkcourtroom plt spoilitall,,
prettylittlething,https://www.tiktok.com/@prettylittlething,http://tiktok.com/@prettylittlething/video/7337405995473325344,These two 😂👀 #thepinkcourtroom #nellarose #indiyahpolak ,2024-02-19 15:02,video,10,151901,4.45,138204,5.27,328,4.52,13697,369,4.45,929561,16.34115,,,thepinkcourtroom nellarose indiyahpolak,,
prettylittlething,https://www.tiktok.com/@prettylittlething,http://tiktok.com/@prettylittlething/video/7333292559873183009,Your fav show is back this Sunday at 7pm 👩‍⚖️✨ #thepinkcourtroom ,2024-02-08 13:00,carrousel,21,144098,4.17,133961,5.1,314,4.33,10137,503,6.07,599417,24.03969,,,thepinkcourtroom,,
prettylittlething,https://www.tiktok.com/@prettylittlething,http://tiktok.com/@prettylittlething/video/7335005085656747296,Molly-Mae’s latest edit with PLT 🤣🏹🤍 #CapCut #MollyMae #PLT ,2024-02-13 03:46,video,14,89562,2.21,87785,3.34,259,3.57,1777,87,1.05,1194089,7.50045,,,capcut mollymae plt,,
prettylittlething,https://www.tiktok.com/@prettylittlething,http://tiktok.com/@prettylittlething/video/7335380186566806816,Lips are sealed 🤐🤐🤐 #plt #ellathomas #ellaandtyrique ,2024-02-14 04:01,video,6,87637,2.14,85842,3.27,225,3.1,1795,448,5.41,992000,8.83437,,,plt ellathomas ellaandtyrique,,
prettylittlething,https://www.tiktok.com/@prettylittlething,http://tiktok.com/@prettylittlething/video/7332875377724886305,💋💍🙅‍♀️ with the iconic Liberty Poole  #prettylittlething ,2024-02-07 10:01,video,27,45142,0.62,44384,1.69,21,0.28,758,18,0.21,573016,7.87797,,,prettylittlething,,
prettylittlething,https://www.tiktok.com/@prettylittlething,http://tiktok.com/@prettylittlething/video/7337826709678345505,The guestlist = 💯💘👌🤍✨ #pltxamicharlize #plthq ,2024-02-20 18:15,carrousel,21,37995,0.36,37116,1.41,18,0.24,879,208,2.51,427498,8.88776,,,pltxamicharlize plthq,,
prettylittlething,https://www.tiktok.com/@prettylittlething,http://tiktok.com/@prettylittlething/video/7337031175354993952,Not the bestfriend!! 😱 Ep 2 of THE PINK COURTROOM is here... and its a plot twist us girls know too well 🙄💗 #thepinkcourtroom ,2024-02-18 14:48,video,28,33194,0.19,31166,1.18,87,1.19,2028,113,1.36,259938,12.76997,,,thepinkcourtroom,,
