Profile,Profile Link,Post Link,Text,Date,Type,Video Length (seconds),Engagement,Engagement Ratio vs Average,Likes,Likes Ratio vs Average,Shares,Shares Ratio vs Average,Saves,Comments,Comments Ratio vs Average,Views,Engagement Rate,Music Name, Music Author, Hashtags, Campaigns
primark,https://www.tiktok.com/@primark,http://tiktok.com/@Primark/video/7332876401986620705,It’s Hello Kitty’s world we’re just living in it 💅💖 #Primark #HelloKitty ,2024-02-07 10:05,video,10,280222,10.97,252122,11.75,7208,13.04,28100,4205,14.87,1849603,15.15039,,,primark hellokitty,,
primark,https://www.tiktok.com/@primark,http://tiktok.com/@Primark/video/7334771127270624545,The sweetest bouquet to receive this Valentine’s 🌹 #primark #ValentinesDay ,2024-02-12 12:38,video,60,142612,5.09,125831,5.86,1079,1.95,16781,728,2.57,1073637,13.28307,,,primark valentinesday,,
primark,https://www.tiktok.com/@primark,http://tiktok.com/@Primark/video/7333716292815408417,Halftime outfit inspo @Usher Raymond? 🤞👀 #Primark #Jujutsukaisen  ,2024-02-09 16:24,video,18,65688,1.8,59329,2.76,1839,3.32,6359,2073,7.33,453804,14.47497,,, primark jujutsukaisen,,
primark,https://www.tiktok.com/@primark,http://tiktok.com/@Primark/video/7340289412414065953,Ohana means nobody gets left behind💙 #Primark,2024-02-27 09:31,video,27,55072,1.35,51011,2.37,3600,6.51,4061,560,1.98,964864,5.70775,,,primark,,
primark,https://www.tiktok.com/@primark,http://tiktok.com/@Primark/video/7336143804895874336,The Queen got us like 👢 #Primark #cowboyboots ,2024-02-16 05:24,video,27,51729,1.21,49096,2.28,2590,4.68,2633,921,3.25,751111,6.887,,,primark cowboyboots,,
primark,https://www.tiktok.com/@primark,http://tiktok.com/@Primark/video/7335416954070617377,Always true to our roots 💙 #Primark ,2024-02-14 06:24,carrousel,27,42008,0.79,40690,1.89,46,0.08,1318,140,0.49,331157,12.68522,,,primark,,
primark,https://www.tiktok.com/@primark,http://tiktok.com/@Primark/video/7332839175995149600,Florals? In spring? Groundbreaking… 🌸🌼🌷 New Primark Home in store now #PrimarkHome #Primark ,2024-02-07 07:41,video,49,38458,0.64,35567,1.65,1561,2.82,2891,171,0.6,578562,6.64717,,,primarkhome primark,,
primark,https://www.tiktok.com/@primark,http://tiktok.com/@Primark/video/7338078773234961697,a pattern for everyone 💅👀 #primark #pjs ,2024-02-21 10:33,video,7,33567,0.43,31738,1.48,635,1.14,1829,224,0.79,361761,9.27878,,,primark pjs,,
primark,https://www.tiktok.com/@primark,http://tiktok.com/@Primark/video/7332087734347107617,Swipe to see our fave #PrimarkHome picks in-store now 🥰➡️,2024-02-05 07:05,carrousel,60,31637,0.35,29100,1.35,512,0.92,2537,137,0.48,748056,4.22923,,,PrimarkHome,,
primark,https://www.tiktok.com/@primark,http://tiktok.com/@Primark/video/7338806589417082144,run don’t walk… down the aisle 😏🤍 #primark ,2024-02-23 09:37,video,11,13889,-0.4,13171,0.61,149,0.26,718,82,0.29,157728,8.80567,,,primark,,
primark,https://www.tiktok.com/@primark,http://tiktok.com/@Primark/video/7341380162644184352,#Primark #LoveIsland ,2024-03-01 08:04,carrousel,14,13006,-0.44,12717,0.59,27,0.04,289,84,0.29,147728,8.80402,,,primark loveisland,,
primark,https://www.tiktok.com/@primark,http://tiktok.com/@Primark/video/7333254130883956000,yeah… no ✨ #Primark,2024-02-08 10:31,carrousel,39,12936,-0.44,12320,0.57,17,0.03,616,44,0.15,152240,8.49711,,,primark,,
primark,https://www.tiktok.com/@primark,http://tiktok.com/@Primark/video/7334427883730914592,@Sharky 🦈 is not giving Swifty vibes 😉 @Maddie Grace Jepson #Primark #NFL #SuperBowlLVIII #SuperBowl @NFLUK ,2024-02-11 14:26,video,56,10799,-0.53,10476,0.48,33,0.05,323,41,0.14,150781,7.16204,,,  primark nfl superbowllviii superbowl ,,
primark,https://www.tiktok.com/@primark,http://tiktok.com/@Primark/video/7335059924642270496,Girlhood never dies 🩷 #Primark #Galentines,2024-02-13 07:19,video,28,7066,-0.69,6709,0.31,27,0.04,357,52,0.18,88727,7.96375,,,primark galentines,,
primark,https://www.tiktok.com/@primark,http://tiktok.com/@Primark/video/7333600554733604129,Primark loves Stitch 💙👽 #Primark #Stitch,2024-02-09 08:55,video,22,5620,-0.75,5059,0.23,392,0.7,561,137,0.48,114242,4.91938,,,primark stitch,,
primark,https://www.tiktok.com/@primark,http://tiktok.com/@Primark/video/7340979110023286049,bedtime never looked so cute 🥰 #primark #mickeymouse ,2024-02-29 06:08,video,214,5493,-0.76,5098,0.23,254,0.45,395,42,0.14,182236,3.01422,,,primark mickeymouse,,
primark,https://www.tiktok.com/@primark,http://tiktok.com/@Primark/video/7335491094517566752,CUTEST 🩷✨🩷 #Primark,2024-02-14 11:11,carrousel,29,5127,-0.78,4765,0.22,35,0.06,362,28,0.09,128407,3.99277,,,primark,,
primark,https://www.tiktok.com/@primark,http://tiktok.com/@Primark/video/7341083301735714081,it’s a weekly routine 💅 #primark ,2024-02-29 12:52,video,65,4436,-0.81,4291,0.2,15,0.02,145,29,0.1,61933,7.16258,,,primark,,
primark,https://www.tiktok.com/@primark,http://tiktok.com/@Primark/video/7335782877545680161,Some of our fave wardrobe staples in-store 💙 #Primark #WardrobeEssentials #InStoreNow ,2024-02-15 06:04,video,59,4358,-0.81,4144,0.19,35,0.06,214,14,0.04,111672,3.9025,,,primark wardrobeessentials instorenow,,
