INDUSTRY,PLATFORM,PROFILE,FOLLOWERS,FOLLOWERS EVOLUTION,ENGAGEMENT,POSTS,AVERAGE ENG/ POST,AVERAGE ENG RATE/ POST,ENGAGEMENT RATE/ PROFILE,REACH,VIEWS
Tech,facebook,netflix,"91,374,970","274,545 0.3%",0,0,0 /post,0%,0%,0,
Tech,tiktok,netflix,"37,447,117","449,796 1.22%",19125149,227,84.3K /post,0.23%,51.07%,,
Tech,instagram,netflix,"33,095,657",564 0%,19966723,140,142.6K /post,0.43%,60.33%,"51,227,102",
Tech,instagram,apple,"32,305,122","154,494 0.48%",1567949,14,112.0K /post,0.35%,4.85%,"7,935,725",
Tech,facebook,amazon,"30,172,041","-9,350 -0.03%",32172,20,1609 /post,0.01%,0.11%,"194,306",
Tech,youtube,netflix,"27,800,000","100,000 0.36%",1200547,99,12.1K /post,0.04%,4.32%,,51.86M
Tech,youtube,apple,"18,800,000","100,000 0.53%",142304,6,23.7K /post,0.13%,0.76%,,49.79M
Tech,facebook,apple,"13,809,876","-4,171 -0.03%",0,0,0 /post,0%,0%,0,
Tech,twitter,apple,"9,785,568","20,080 0.21%",0,0,0 /post,0%,0%,,
Tech,twitter,amazon,"6,100,022","51,546 0.85%",5856,23,254.6 /post,0.00%,0.10%,,
Tech,instagram,amazon,"4,701,931","46,846 1.01%",40174,24,1674 /post,0.04%,0.85%,"353,994",
Tech,tiktok,apple,"3,735,283","441,859 13.42%",815119,1,815.1K /post,21.82%,21.82%,,
Tech,youtube,smartsheet,"42,600",0 0%,51,12,4.3 /post,0.01%,0.12%,,14.49K
Tech,facebook,smartsheet,"32,048",0 0%,179,20,8.9 /post,0.03%,0.56%,736,
Tech,twitter,smartsheet,"27,414",0 0%,58,26,2.2 /post,0.01%,0.21%,,
Tech,tiktok,smartsheet,"3,710",0 0%,1,1,1 /post,0.03%,0.03%,,
Tech,facebook,uber,"21,901,726","-2,197 -0.01%",0,0,0 /post,0%,0%,0,
Tech,facebook,airbnb,"16,153,090","21,867 0.14%",0,0,0,0%,0%,0,
Tech,instagram,airbnb,"5,606,769","25,421 0.46%",1402,9,155.8 /post,0.00%,0.03%,"11,691",
Tech,instagram,uber,"1,589,574","6,562 0.41%",31782,22,1445 /post,0.09%,2.00%,"277,088",
Tech,twitter,uber,"1,088,409",943 0.09%,1830,29,63.1 /post,0.01%,0.17%,,
Tech,tiktok,uber,"1,034,513","37,957 3.81%",118843,14,8489 /post,0.82%,11.49%,,
Tech,youtube,uber,"886,000","1,000 0.11%",77,14,5.5 /post,0.00%,0.01%,,3.36M
Tech,twitter,airbnb,"879,474",-412 -0.05%,0,0,0 /post,0%,0%,,
Tech,youtube,airbnb,"646,000","3,000 0.47%",29,1,29 /post,0.00%,0.00%,,2846
Tech,facebook,asana,"286,529",0 0%,28,1,28 /post,0.01%,0.01%,126,
Tech,tiktok,airbnb,"272,983","5,445 2.04%",0,0,0 /post,0%,0%,,
Tech,twitter,asana,"128,365",0 0%,12,1,12 /post,0.01%,0.01%,,
Tech,instagram,asana,"70,354",369 0.53%,728,9,80.9 /post,0.12%,1.04%,"9,806",
Tech,youtube,asana,"44,000",0 0%,32,2,16 /post,0.04%,0.07%,,3688
Tech,twitter,calendly,"21,434",0 0%,52,11,4.7 /post,0.02%,0.24%,,
Tech,instagram,calendly,"17,739",0 0%,559,9,62.1 /post,0.35%,3.15%,"6,856",
Tech,facebook,calendly,"9,678",59 0.61%,0,0,0 /post,0%,0%,0,
Tech,youtube,calendly,"4,210",0 0%,3,1,3 /post,0.07%,0.07%,,238
Tech,tiktok,asana,"1,432",0 0%,0,0,0 /post,0%,0%,,
Tech,facebook,spotify,"23,293,459","-20,339 -0.09%",0,0,0 /post,0%,0%,0,
Tech,twitter,spotify,"14,493,665","441,316 3.14%",225326,88,2561 /post,0.02%,1.56%,,
Tech,instagram,spotify,"11,145,398","92,779 0.84%",4988093,82,60.8K /post,0.55%,44.76%,"14,421,790",
Tech,tiktok,spotify,"2,647,008","67,529 2.62%",334727,35,9564 /post,0.36%,12.65%,,
Tech,youtube,spotify,"1,670,000",0 0%,37249,30,1242 /post,0.07%,2.23%,,850.86K
Tech,facebook,blinkist,"541,669",0 0%,2909,7,415.6 /post,0.08%,0.54%,"26,131",
Tech,instagram,blinkist,"446,200",0 0%,1894,13,145.7 /post,0.03%,0.42%,"18,530",
Tech,facebook,instacart,"401,549",290 0.07%,1890,15,126 /post,0.03%,0.47%,"8,135",
Tech,instagram,instacart,"170,831",35 0.02%,2221,20,111.0 /post,0.07%,1.30%,"28,517",
Tech,twitter,blinkist,"115,773",0 0%,55,9,6.1 /post,0.01%,0.05%,,
Tech,twitter,instacart,"63,580",0 0%,434,42,10.3 /post,0.02%,0.68%,,
Tech,youtube,instacart,"33,600",0 0%,0,0,0 /post,0%,0%,,0
Tech,tiktok,instacart,"26,826",0 0%,135,9,15 /post,0.06%,0.50%,,
Tech,twitter,pathwright,"1,071",0 0%,3,2,1.5 /post,0.14%,0.28%,,
Tech,facebook,pathwright,727,0 0%,0,0,0 /post,0%,0%,0,
Tech,instagram,pathwright,392,0 0%,0,0,0 /post,0%,0%,0,
Tech,youtube,pathwright,93,0 0%,0,0,0 /post,0%,0%,,0
Tech,youtube,blinkist,"16,300",0 0%,0,0,0 /post,0%,0%,,
Fashion,instagram,nike,"306,987,612","211,739 0.07%",3583721,12,298.6K /post,0.10%,1.17%,"17,063,948",
Fashion,instagram,gucci,"52,379,676","20,369 0.04%",3428487,45,76.2K /post,0.15%,6.55%,"75,293,444",
Fashion,facebook,adidas,"40,987,373","40,987,373 %",0,0,0 /post,0.00%,0.00%,0,
Fashion,facebook,nike,"37,154,831","19,014 0.05%",0,0,0 /post,0.00%,0.00%,0,
Fashion,instagram,adidas,"28,844,344","172,653 0.6%",2244917,12,187.1K /post,0.65%,7.78%,"6,940,438",
Fashion,facebook,chanel,"23,320,747","6,604 0.03%",79205,25,3168 /post,0.01%,0.34%,"729,450",
Fashion,facebook,gucci,"20,844,183","9,243 0.04%",223986,57,3930 /post,0%,1%,"1,850,678",
Fashion,twitter,chanel,"13,304,397","-12,880 -0.1%",0,0,0 /post,0.00%,0.00%,,
