Name,Profile,Permalink,Caption,Type,Date,Engagement,Engagement Ratio vs Average,Engagement Rate,Comments,Comments Ratio vs Average,Likes,Likes Ratio vs Average,Campaigns,Estimated Reach,Estimated Impressions
instacart,https://www.instagram.com/instacart,https://www.instagram.com/reel/Cy1x7phP5YL/,Cool dads know what you pack for lunch can make you even cooler. Keep your lunchbox game fresh with the new Just Ask Instacart AI-powered search engine feature for meal ideas and ingredients delivered right to your door. ?ßÉtheeverythingdad shows us how he keeps things delicious and fun for everyone. #Ad #JustAskInstacart #InstacartPartner #RecipeIdeas #PackedLunchIdeas #DadsOfInstagram,reel,2023-10-25 19:32,7718,24.76,4.51493,48,-0.28,7670,31.97,,45774,50352
instacart,https://www.instagram.com/instacart,https://www.instagram.com/reel/CzZOZmLPPzB/,Coining *dinspiration* as the new term for recipes inspired by the new Ask Instacart AI-powered search. S/O to lorynpowell for the... dinspiration! ?§©?§∞?èº#Ad #JustAskInstacart #InstacartPartner #MomsOfInstagram #PregnancyCravings #cravings #RecipeIdeas,reel,2023-11-08 12:54,7443,23.84,4.35406,37,-0.44,7406,30.84,,42462,46708
instacart,https://www.instagram.com/instacart,https://www.instagram.com/reel/CzXGAHNS5bt/,Your picky eaters have met their match! With the new Ask Instacart AI-powered search tool finding recipe ideas and ingredients has never been easier.Just ask makeitwithmicah who made a dinner that was not only quick but also kid-approved! #Ad #JustAskInstacart #InstacartPartner #RecipeIdeas #MomsOfInstagram #PickyEaters #PickyKids,reel,2023-11-07 17:02,3348,10.17,1.95854,173,1.58,3175,12.65,,33783,37161
instacart,https://www.instagram.com/instacart,https://www.instagram.com/reel/CywgS2bP7pD/,Check out how nicolestorydent uses instacart to (literally) ROAST veggies. Then try the new Ask Instacart AI-powered search feature to find what you need and get it delivered to your door in as fast as 1 hour. #Ad #JustAskInstacart #InstacartPartner #MomsOfInstagram,reel,2023-10-23 18:33,2764,8.22,1.6169,27,-0.59,2737,10.76,,21889,24078
instacart,https://www.instagram.com/instacart,https://www.instagram.com/p/CxYZM5axXeE/,Over 11 years and 1 billion bananas later Instacart is now public. We?ôre excited for whats next and - most importantly - to bring more food and joy to your $CART.,IMAGE,2023-09-19 13:05,880,1.93,0.51479,100,0.49,780,2.35,,8265,9091
instacart,https://www.instagram.com/instacart,https://www.instagram.com/reel/Cyokg1bx5w0/,Instacart and ichvse know that you can?ôt ignore your haunted refrigerator?ôs wishes! But with the new Ask Instacart AI-powered search tool you can find all your ingredients before your fridge puts a spell on you! Try it now and get delivery in as fast as 1 hour.#Ad #JustAskInstacart #InstacartPartner #RecipeIdeas,reel,2023-10-20 16:27,872,1.91,0.51011,14,-0.79,858,2.68,,16217,17839
instacart,https://www.instagram.com/instacart,https://www.instagram.com/reel/CzHNZayPAfL/,Is your date vegan but your culinary repertoire not? Check out how notwildlin uses the new Ask Instacart AI-powered search to find delicious vegan recipe ideas. Try it yourself and get delivery to impress your date in as fast as 1 hour.#Ad #JustAskInstacart #InstacartPartner #DateNight #NewRecipe #RecipeIdeas,reel,2023-11-01 14:01,625,1.08,0.36562,67,0,558,1.39,,12639,13902
instacart,https://www.instagram.com/instacart,https://www.instagram.com/p/CvPYFmuO-gC/,Shaking stirring and blending beautiful cocktails makes me happy. I just imagine myself in my dream house looking gorgeous standing on my tippy toes overlooking Malibu.Must be 21+ to purchase alcohol. Where avail.,IMAGE,2023-07-28 8:00,530,0.76,0.31004,417,5.22,113,-0.51,,8630,9493
instacart,https://www.instagram.com/instacart,https://www.instagram.com/p/CuzjU4Ax0f0/,Imagine leaving a seemingly perfect world of dolls and suddenly finding yourself in the real world? Would you have everything to live outside the box? Link in bio,IMAGE,2023-07-17 12:39,472,0.57,0.27611,336,4.01,136,-0.41,,7848,8633
instacart,https://www.instagram.com/instacart,https://www.instagram.com/p/CuSKj4sRu-r/,Happy 4th everyone! I don?ôt know how she?ôs gonna get down from there with all that stuff in her hands. Anyway link in bio to shop last-minute July 4th must-haves!,IMAGE,2023-07-04 13:28,469,0.56,0.27436,166,1.47,303,0.3,,7122,7835
