Profile,Profile Link,Post Link,Text,Date,Type,Video Length (seconds),Engagement,Engagement Ratio vs Average,Likes,Likes Ratio vs Average,Shares,Shares Ratio vs Average,Saves,Comments,Comments Ratio vs Average,Views,Engagement Rate,Music Name, Music Author, Hashtags, Campaigns
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7254965969804741930,Meanwhile our bestie is up front telling the driver his life story ?òÇ,2023-07-12 12:13,video,5,83525,8.44,83291,9.55,225,4.54,234,345,3.04,625200,13.35972,original sound VgsErik,,,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7341052965647584554,Tag your friend who says ?úon my way!??but hasn?ôt even showered yet ?§≠,2024-02-29 10:55,video,43,52411,4.92,52368,6,125,2.52,43,245,2.16,538774,9.72783,,,,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7301362113761512747,WHAT?ôS YOUR NEXT DATE GONNA BE? ???ñ§?íö,2023-11-14 11:54,video,51,48768,4.51,47588,5.45,487,9.82,1180,220,1.94,7118931,0.68505,original sound Uber,,,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7288354330397330734,Friends that leave together stay together ?∫Ô∏è?ñ§ #uber ,2023-10-10 11:37,video,5,46839,4.29,46430,5.32,374,7.54,409,271,2.39,539306,8.68505,original sound Liv4tmr,,uber,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7322532700517305646,it?ôs mean girls the movie the musical the movie the musical the movie the musical ?íÖ #reneerapp #uber ,2024-01-10 13:06,video,60,41231,3.66,39427,4.52,135,2.72,1804,153,1.35,668117,6.17122,,,reneerapp uber,
uber,https://www.tiktok.com/@uber,https://www.tiktok.com/@uber/video/7218210253442272554,Tag the friend who can?ôt ever stay mad ?òÇ,2023-04-04 11:02,video,17,36850,3.16,36300,4.16,98,1.97,135,317,2.79,358200,10.28755,Da Girls Ciara,,,
uber,https://www.tiktok.com/@uber,https://www.tiktok.com/@uber/video/7224158016738823467,tag your cold brew bestie ?òé,2023-04-20 11:42,video,6,36821,3.16,36600,4.19,40,0.8,80,101,0.89,305300,12.0606,original sound Boss Man Reynos,,,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7286538258249420075,It?ôs the little things ?ñ§ #uber ,2023-10-05 14:10,video,5,35449,3,35401,4.06,116,2.34,48,84,0.74,285087,12.43445,original sound ??,uber,,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7326978055598066987,Tag your friend that never wants the night to end ?•≥ #uber ,2024-01-22 12:37,video,6,34410,2.88,34355,3.94,28,0.56,55,51,0.45,432040,7.96454,,,uber,
uber,https://www.tiktok.com/@uber,https://www.tiktok.com/@uber/video/7224612835404320042,WHAT UBER RIDE ARE YOU ?§î?âÔ∏è?öô,2023-04-21 17:07,video,44,34319,2.87,34000,3.9,98,1.97,78,143,1.26,1300000,2.63992,original sound Uber,,,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7273546366557752618,Tag the friends that always make your food *magically* disappear ?? #ubereats ,2023-08-31 13:55,video,6,34134,2.85,34034,3.9,541,10.91,100,218,1.92,316144,10.79698,–æ?–∏–≥–∏–Ω–∞–ª?–Ω?–π –∑–≤?–∫ Tima,,ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7325191016783318314,hyperfixation meal always has my back ?íö #ubereats ,2024-01-17 17:02,video,10,33488,2.78,33410,3.83,151,3.04,78,221,1.95,578928,5.78448,,,ubereats,
uber,https://www.tiktok.com/@uber,http://tiktok.com/@Uber/video/7297308610772634923,Well now that you ask???òÖ #uber ,2023-11-03 14:44,video,11,31308,2.53,31128,3.57,175,3.53,180,163,1.43,442937,7.06827,som original ?ï≠?ñê?ñâ?ñé?ñô,,uber,
