Profile,Type, sqrt_engagement , Time_Frame , Num_Viral_Posts , Followers , Quarter , Comments , Likes 
vinted,IMAGE,20.14944168, - , - , 500-1000K , 2 , 106 , 348 
vinted,IMAGE,23.55843798, - , - , 500-1000K , 2 , 106 , 348 
vinted,CAROUSEL_ALBUM,28.08914381, - , - , 500-1000K , 2 , 106 , 348 
vinted,CAROUSEL_ALBUM,24.51530134, - , - , 500-1000K , 2 , 106 , 348 
vinted,CAROUSEL_ALBUM,20.80865205, - , - , 500-1000K , 2 , 106 , 348 
vinted,IMAGE,24.22808288, - , - , 500-1000K , 2 , 106 , 348 
vinted,CAROUSEL_ALBUM,22.75961335, - , - , 500-1000K , 2 , 106 , 348 
vinted,IMAGE,20.19900988, - , - , 500-1000K , 2 , 106 , 348 
vinted,IMAGE,19.05255888, - , - , 500-1000K , 2 , 106 , 348 
vinted,CAROUSEL_ALBUM,24.87971061, - , - , 500-1000K , 2 , 106 , 348 
vinted,IMAGE,19.49358869, - , - , 500-1000K , 2 , 106 , 348 
vinted,CAROUSEL_ALBUM,18.13835715, - , - , 500-1000K , 2 , 106 , 348 
vinted,CAROUSEL_ALBUM,21.42428529, - , - , 500-1000K , 2 , 106 , 348 
vinted,IMAGE,17.05872211, - , - , 500-1000K , 2 , 106 , 348 
vinted,IMAGE,18.84144368, - , - , 500-1000K , 2 , 106 , 348 
vinted,IMAGE,22.60530911, - , - , 500-1000K , 2 , 106 , 348 
vinted,CAROUSEL_ALBUM,22.69361144, - , - , 500-1000K , 2 , 106 , 348 
vinted,CAROUSEL_ALBUM,21.47091055, - , - , 500-1000K , 2 , 106 , 348 
vinted,CAROUSEL_ALBUM, 21 , - , - , 500-1000K , 2 , 106 , 348 
vinted,IMAGE,25.29822128, - , - , 500-1000K , 2 , 106 , 348 
vinted,CAROUSEL_ALBUM, 21 , 1 , - , 500-1000K , 3 , 133 , 377 
vinted,CAROUSEL_ALBUM,18.734994, 1 , - , 500-1000K , 3 , 133 , 377 
vinted,IMAGE,22.22611077, 1 , - , 500-1000K , 3 , 133 , 377 
vinted,IMAGE,23.40939982, 1 , - , 500-1000K , 3 , 133 , 377 
vinted,CAROUSEL_ALBUM,21.04756518, 1 , - , 500-1000K , 3 , 133 , 377 
vinted,CAROUSEL_ALBUM,19.59591794, 1 , - , 500-1000K , 3 , 133 , 377 
vinted,IMAGE,17.91647287, 1 , - , 500-1000K , 3 , 133 , 377 
vinted,IMAGE,22.42766149, 1 , - , 500-1000K , 3 , 133 , 377 
vinted,IMAGE,21.09502311, 1 , - , 500-1000K , 3 , 133 , 377 
vinted,CAROUSEL_ALBUM, 21 , 1 , - , 500-1000K , 3 , 133 , 377 
vinted,IMAGE,21.9317122, 1 , - , 500-1000K , 3 , 133 , 377 
vinted,IMAGE,21.1896201, 1 , - , 500-1000K , 3 , 133 , 377 
vinted,CAROUSEL_ALBUM,20.83266666, 1 , - , 500-1000K , 3 , 133 , 377 
vinted,reel,25.47547841, 1 , - , 500-1000K , 3 , 133 , 377 
vinted,CAROUSEL_ALBUM,20.68816087, 1 , - , 500-1000K , 3 , 133 , 377 
vinted,CAROUSEL_ALBUM,19.6977156, 1 , - , 500-1000K , 3 , 133 , 377 
vinted,CAROUSEL_ALBUM, 22 , 1 , - , 500-1000K , 3 , 133 , 377 
vinted,IMAGE,23.85372088, 1 , - , 500-1000K , 3 , 133 , 377 
vinted,IMAGE,20.51828453, 1 , - , 500-1000K , 3 , 133 , 377 
vinted,CAROUSEL_ALBUM,22.29349681, 1 , - , 500-1000K , 3 , 133 , 377 
stockx,reel,45.96737974, - , - , 2000K+ , 2 , 96 ," 6,937 "
stockx,reel,53.09425581, - , - , 2000K+ , 2 , 96 ," 6,937 "
stockx,reel,69.68500556, - , - , 2000K+ , 2 , 96 ," 6,937 "
stockx,reel, 41 , - , - , 2000K+ , 2 , 96 ," 6,937 "
stockx,reel,65.91661399, - , - , 2000K+ , 2 , 96 ," 6,937 "
stockx,reel,45.98912915, - , - , 2000K+ , 2 , 96 ," 6,937 "
stockx,CAROUSEL_ALBUM,60.99180273, - , - , 2000K+ , 2 , 96 ," 6,937 "
stockx,reel,51.94227565, - , - , 2000K+ , 2 , 96 ," 6,937 "
stockx,reel,43.79497688, - , - , 2000K+ , 2 , 96 ," 6,937 "
stockx,reel,55.75840744, - , - , 2000K+ , 2 , 96 ," 6,937 "
stockx,reel,60.74537019, - , - , 2000K+ , 2 , 96 ," 6,937 "
stockx,reel,39.35733731, - , - , 2000K+ , 2 , 96 ," 6,937 "
stockx,reel,45.38722287, - , - , 2000K+ , 2 , 96 ," 6,937 "
stockx,reel,71.81225522, - , - , 2000K+ , 2 , 96 ," 6,937 "
stockx,reel,66.16645676, - , - , 2000K+ , 3 ," 1,127 "," 10,090 "
stockx,reel,38.13135193, - , - , 2000K+ , 3 ," 1,127 "," 10,090 "
stockx,CAROUSEL_ALBUM,45.5521679, - , - , 2000K+ , 3 ," 1,127 "," 10,090 "
stockx,reel,40.17461885, - , - , 2000K+ , 3 ," 1,127 "," 10,090 "
stockx,reel,40.19950248, - , - , 2000K+ , 3 ," 1,127 "," 10,090 "
stockx,reel,83.08429454, - , - , 2000K+ , 3 ," 1,127 "," 10,090 "
stockx,reel,41.12177039, 1 , - , 2000K+ , 3 ," 1,127 "," 10,090 "
stockx,reel,38.88444419, 1 , - , 2000K+ , 3 ," 1,127 "," 10,090 "
